etapa,km_etapa,puerto,categoria,km_punto,rol
2,214.3,Alto Chateauneuf-Grasse,3a,44.7,intermedio
2,214.3,Col de Saint-Andrieu,3a,105,intermedio
3,174,Col de Mont Louis,1a,158,intermedio
3,174,Font Romeu,2a,174,final
4,104.8,Port de Envalira,1a,25.2,intermedio
4,104.8,Collada de Beixalis,1a,59.3,intermedio
4,104.8,Coll d'Ordino,1a,78.7,intermedio
4,104.8,Alto de la Comella,3a,100,final
5,173.4,Puerto de Pauls,3a,148.5,intermedio
6,177.4,La Serratella,2a,44.6,intermedio
6,177.4,Coll de La Bandereta,3a,61.1,intermedio
6,177.4,Desierto de Las Palmas,2a,128.5,intermedio
6,177.4,El Bartolo,1a,156.9,intermedio
7,149.8,El Remolcador,2a,52.2,intermedio
7,149.8,Alto de Zucaina,3a,65.5,intermedio
7,149.8,Fuente de Rubielos,3a,104,intermedio
7,149.8,San Rafael,2a,136.3,intermedio
7,149.8,Aramon Valdelinares,1a,149.8,final
8,171,Barx,2a,143.6,intermedio
9,187.4,Tarbena,2a,36.7,intermedio
9,187.4,Miserat,1a,73.9,intermedio
9,187.4,Tollos,3a,92.8,intermedio
9,187.4,Tudons,2a,121.8,intermedio
9,187.4,Benifallim,2a,139.9,intermedio
9,187.4,Alto de Aitana,Especial,187.4,final
10,184.7,El Peralejo,3a,47.6,intermedio
10,184.7,Ayna,3a,86.3,intermedio
10,184.7,Socovos,3a,163.2,intermedio
11,151.3,Aledo,3a,121.8,intermedio
12,166.6,Cabecico,3a,16,intermedio
12,166.6,Cobdar,3a,57.5,intermedio
12,166.6,Collado Garcia,2a,86.4,intermedio
12,166.6,Velefique,1a,153.4,intermedio
12,166.6,Calar Alto,1a,166.6,final
13,192.8,La Cebada,1a,31.2,intermedio
13,192.8,Legionario,3a,83.4,intermedio
13,192.8,Granada (alto),2a,155.4,intermedio
14,154.5,Los Villares,2a,92.8,intermedio
14,154.5,Locubin,2a,133.2,intermedio
14,154.5,Sierra de la Pandera,1a,154.5,final
15,189.7,La Forestal,3a,34.5,intermedio
15,189.7,Villaviciosa de Cordoba,3a,121.5,intermedio
15,189.7,Artafi,3a,153.1,intermedio
19,210,Las Abejas,2a,91,intermedio
19,210,El Viento,2a,111.3,intermedio
19,210,Penas Blancas,1a,210,final
20,187,Los Blancares,3a,50.9,intermedio
20,187,El Purche (1a vez),1a,94.7,intermedio
20,187,El Purche (2a vez),1a,126,intermedio
20,187,Hazallanas,1a,156,intermedio
20,187,Collado del Alguacil,Especial,188,final
